movie_name,movie_year,kor_name,eng_name,age,gender,disabled,d_type_1,d_type_2,
Inseparable Bros,2019,강세하,Seha,forties,Male,TRUE,Physical Disability,
My Bossy Girl,2019,강혜진,Hyejin,twenties,Female,TRUE,Physical Disability,
My Annoying Brother,2016,고두영,Dooyeong,twenties,Male,TRUE,Visual Impairment,
Silenced,2011,김연두,Yeondoo,teens,Female,TRUE,Hearing Impairment,
Glove,2011,김진만,Jinman,teens,Male,TRUE,Hearing Impairment,
Oneday,2017,단미소,Miso,twenties,Female,TRUE,Visual Impairment,
Believer,2017,동영,Dongyeong,twenties,Male,TRUE,Hearing Impairment,Physical Disability
My Bossy Girl,2019,라진,Rajin,twenties,Female,TRUE,Physical Disability,
Sympathy For Mr Vengeance,2002,류,Ryu,twenties,Male,TRUE,Hearing Impairment,
Blind,2011,민수아,Sooah,twenties,Female,TRUE,Visual Impairment,
Inseparable Bros,2019,박동구,Donggu_P,thirties,Male,TRUE,Intellectual Disability,
Memories of Murder,2003,백광호,Gwangho,twenties,Male,TRUE,Intellectual Disability,Physical Disability
Agagil,2016,보현,Bohyeon,thirties,Female,TRUE,Hearing Impairment,
Who Are You,2002,서인주,Injoo,twenties,Female,TRUE,Hearing Impairment,
Agagil,2016,성락,Seongrak,thirties,Male,TRUE,Hearing Impairment,
The Soup,2016,순식,Soonsik,forties,Male,TRUE,Intellectual Disability,
Innocence,2020,안정수,Jeongsoo,twenties,Male,TRUE,Autism,
The Soup,2016,애심,Aaeshim,thirties,Female,TRUE,Intellectual Disability,
Barefoot Gi Bong,2006,엄기봉,Kibong,forties,Male,TRUE,Intellectual Disability,
My Bossy Girl,2019,영철,Yeongcheol,twenties,Male,TRUE,Physical Disability,
Keys to the Heart,2018,오진태,Jintae,teens,Male,TRUE,Autism,
Stone Skipping,2020,윤석구,Seokgoo,thirties,Male,TRUE,Intellectual Disability,
Marathon,2005,윤초원,Chowon,twenties,Male,TRUE,Autism,
My Bossy Girl,2019,은정,Eunjeong,twenties,Female,TRUE,Physical Disability,
Like for Likes,2016,이수호,Sooho,twenties,Male,TRUE,Hearing Impairment,
Miracle in Cell No 7,2013,이용구,Yonggu,thirties,Male,TRUE,Intellectual Disability,
Cheer Up Mr Lee,2019,이철수,Chulsoo,forties,Male,TRUE,Intellectual Disability,
The Preparation,2017,인규,Ingyu,thirties,Male,TRUE,Intellectual Disability,
Innocent Witness,2019,임지우,Jiwoo,teens,Female,TRUE,Autism,
Glove,2011,장대근,Daegeun,teens,Male,TRUE,Hearing Impairment,
Silenced,2011,전민수,Minsoo,teens,Male,TRUE,Hearing Impairment,
Roaring Currents,2014,정씨여인,Woman-Jung,thirties,Female,TRUE,Language Disorder,
Believer,2017,주영,Jooyeong,twenties,Female,TRUE,Hearing Impairment,
Silenced,2011,진유리,Yuri,teens,Female,TRUE,Intellectual Disability,Hearing Impairment
Glove,2011,차명재,Myeongjae,teens,Male,TRUE,Hearing Impairment,
Au Revoir UFO,2004,최경우,Kyungwoo,twenties,Female,TRUE,Visual Impairment,
Oasis,2002,한공주,Gongjoo,twenties,Female,TRUE,Brain Lesions,
Bunt,2007,허동구,Donggu_H,teens,Male,TRUE,Intellectual Disability,
